file	syntax	lines	forbidden_tokens	error
moatters/__init__.py	PASS	2		
moatters/config.py	PASS	94		
run_pipeline.py	PASS	73		
scripts/01_derivation/01_bp_module_rewiring.py	PASS	1045		
scripts/01_derivation/02_stage_attractor_reconstruction.py	PASS	1432		
scripts/01_derivation/03_tme_conditioned_module_analysis.py	PASS	1286		
scripts/01_derivation/04_patient_state_profile.py	PASS	1134		
scripts/01_derivation/05_random_control_audit.py	PASS	1132		
scripts/01_derivation/06_downstream_validation.py	PASS	1413		
scripts/02_reference/01_tcga_brca_reference_audit.py	PASS	747		
scripts/03_external_validation/gse96058/01_inventory.py	PASS	404		
scripts/03_external_validation/gse96058/02_harmonize.py	PASS	691		
scripts/03_external_validation/gse96058/03_locked_coverage.py	PASS	389		
scripts/03_external_validation/gse96058/04_reconstruct.py	PASS	763		
scripts/03_external_validation/gse96058/05_validate.py	PASS	840		
scripts/03_external_validation/metabric/01_inventory.py	PASS	380		
scripts/03_external_validation/metabric/02_harmonize.py	PASS	382		
scripts/03_external_validation/metabric/03_locked_coverage.py	PASS	435		
scripts/03_external_validation/metabric/04_reconstruct.py	PASS	763		
scripts/03_external_validation/metabric/05_validate.py	PASS	716		
scripts/04_cross_cancer/kirc/01_inventory.py	PASS	363		
scripts/04_cross_cancer/kirc/02_harmonize.py	PASS	526		
scripts/04_cross_cancer/kirc/03_bp_screen.py	PASS	435		
scripts/04_cross_cancer/kirc/04_network_modules.py	PASS	416		
scripts/04_cross_cancer/kirc/05_reconstruct.py	PASS	528		
scripts/04_cross_cancer/kirc/06_synthesis.py	PASS	425		
scripts/04_cross_cancer/luad/01_inventory.py	PASS	370		
scripts/04_cross_cancer/luad/02_harmonize.py	PASS	551		
scripts/04_cross_cancer/luad/03_bp_screen.py	PASS	438		
scripts/04_cross_cancer/luad/04_network_modules.py	PASS	424		
scripts/04_cross_cancer/luad/05_reconstruct.py	PASS	530		
scripts/04_cross_cancer/luad/06_synthesis.py	PASS	441		
scripts/05_synthesis/01_three_cohort_synthesis.py	PASS	664		
scripts/05_synthesis/02_joint_evidence_synthesis.py	PASS	592		
scripts/06_audits/01_singleton_component_audit.py	PASS	535		
scripts/07_benchmark/01_prepare_benchmark_inputs.py	PASS	329		
scripts/07_benchmark/02_run_gsva_pathifier.py	PASS	567		
scripts/07_benchmark/03_evaluate_benchmark.py	PASS	1432		
tools/preflight.py	PASS	208		
tools/static_release_audit.py	PASS	79		
